conference_acronym	conference_name	conference_location
ARIA 2016 	 Third International Conference on Artificial Intelligence & Applications 	Sydney , Australia
MLDM 2016 	 Machine Learning and Data Mining in Pattern Recognition	New York, USA
SFI 2016 	 SFI Academic IT Festival	Cracow, Poland
Insight 2016 	 Scientific data as viewed from an aesthetic perspective	Klagenfurt, Austria
FMML 2016 	 WCCI2016 Special Session on Fuzzy-based methods for machine learning: data preprocessing, learning models and their applications	Vancouver, Canada
KES-IDT  IS 04 2016 	 Intelligent Data Analysis and Applications	Tenerife, Spain
SDMA 2016 	 4rth Symposium on Data Mining Applications (SDMA 2016)	Riyadh, Saudi Arabia
SI-SCSE 2015 	 A special issue dedicated to Soft Computing in Software Engineering	N/A
IWSPA 2016 	 International Workshop on Security And Privacy Analytics - 2016	New Orleans, USA
HAIS 2016 	 The 11th International Conference on Hybrid Artificial Intelligence Systems	Sevilla, Spain
SCSN 2016 	 Fourth International Workshop on Semantic Computing for Social Networks: from user information to social knowledge	Laguna Hills, California
Advances in Learning with Kernels@ESANN 2016 	 **deadline extended** Special session - Advances in Learning with Kernels: Theory and Practice in a World of growing Constraints	Bruges (Belgium)
Infovis & ML CFP at ESANN 2016 	 Special session on Information Visualisation and Machine Learning: Techniques, Validation and Integration at ESANN 2016	Bruges, Belgium
ICLR 2016 	 ICLR 2016 : International Conference on Learning Representations 2016	San Juan, Puerto Rico
EvoMUSART 2016 	 5th International Conference on Evolutionary and Biologically Inspired Music, Sound, Art and Design	Porto
STREAMS  2015 	 Special Issue on Software Architectures and Systems for Real Time Data Stream Analytics	N/A
ADAPT 2016 	 The 6th International Workshop on Adaptive Self-tuning Computing Systems	Prague, Czech Republic
CODS 2016 	 ACM IKDD Conference on Data Sciences, 2016	Pune, India
TLWorkshop 2015 	 (Deadline Extended to 10/16/2015) NIPS 2015 Workshop on Transfer and Multi-Task Learning: Trends and New Perspectives	Montreal, Canada
ECSA-SSS 2015 	 2nd International Electronic Conference on Sensors and Applications - Smart Systems and Structures	Online (Switzerland, Basel)
ISICS 2016 	 International Symposium on Intelligent Computing Systems	Mérida, México
LearningSys 2015 	 NIPS 2015 Workshop on Machine Learning Systems	Montreal, CANADA
AISTATS 2016 	 The 19th International Conference on  Artificial Intelligence and Statistics	Cadiz, Spain
NIPS Modern ML+NLP 2014 	 Workshop on Modern Machine Learning & Natural Language Processing	Montreal, Quebec, Canada
PAKDD 2016 	 The 20th Pacific-Asia Conference on Knowledge Discovery and Data Mining	Auckland, New Zealand
ICDM 2015 	 ICDM 2015 Student Travel Grants	Atlantic City, NJ, USA
WiML 2015 	 10th WORKSHOP FOR WOMEN IN MACHINE LEARNING 2015 Co-located with NIPS	Montreal, Canada
LSCNA 2015 	 Workshop on Large Scale Complex Network Analysis	Kolkata, India
ESBD 2015 	 The First International Workshop on Educational and Scholarly Big Data Analytics	Hong Kong
WiML 2015 	 10th WORKSHOP FOR WOMEN IN MACHINE LEARNING 2015 Co-located with NIPS	Montreal, Canada
MLHPC 2015 	 Machine Learning in High Performance Computing Environments Workshop	Austin, Texas
DataCom 2015 	 2015 International Conference on Big Data Intelligence and Computing	Chengdu, Sichuan, China
SocialCom 2015 	 The 8th IEEE International Conference on Social Computing and Networking 	Chengdu, Sichuan, China
SustainCom 2015 	 The 5th IEEE International Conference on Sustainable Computing and Communications	Chengdu, Sichuan, China
TASK-CV 2015 	 2nd Workshop on Transferring and Adapting Source Knowledge in Computer Vision	Santiago de Chile
IML 2015 	 Special Session on Incremental Machine Learning	Fukuoka, Japan 
ITxOT Analytics  2015 	 1st Workshop on ITxOT Analytics @ IEEE Big Data 2015 	Santa Clara, CA
CVM  2016 	 The 4th international conference on Computational Visual Media	Cardiff University, UK
WACV 2016 	 IEEE Winter Conference on Application of Computer Vision	Lake Placid, NY, USA. 
MLPMEA 2015 	 2015 Workshop on Machine Learning for Predictive Models for Engineering Applications (MLPMEA 2015)	Miami
SIAI  2015 	 SOCIAL IMPLICATIONS OF ARTIFICIAL INTELLIGENCE – SEOUL CONFERENCE	Seoul, South Korea
IEEEBDAM 2015 	 IEEE Workshop on Big Data for Advanced Manufacturing	Santa Clara
TAAI 2015 	 The 2015 Conference on Technologies and Applications of Artificial Intelligence	Tayih Landis Hotel, Tainan, Taiwan
ASE BigData 2015 	 The Fifth ASE International  Conference on Big Data	Kaohsiung, Taiwan
CRoNe 2015 	 Call for Posters - 1st Congress on Robotics and Neuroscience	Valparaíso, Chile
IES 2015 	 The 19th Asia Pacific Symposium on Intelligent and Evolutionary Systems	Bangkok
SoDA 2015 	 Special Session on Data Mining & Its Application 2015 (in Conjuction with IES 2015)	Bangkok, Thailand
4DML in Biometrics 2015 	 4D's of Machine Learning in Biometrics: Deep Learning, Dictionary Learning, Domain Adaptation, and Distance Metric Learning 	USA
Bigdata 2015 	 The International Workshop on Big Data and Smart Sustainable Society 	Liverpool, UK
SenseML 2015 	 SenseML 2015 : 2nd International Workshop on Machine Learning for Urban Sensor Data @ ACM SenSys	Seoul, Korea
SIPAIM 2015 	 11th International Seminar on Medical Information Processing and Analysis	Cuenca, Ecuador
JoMI 2015 	 Journal of Machine Intelligence (JoMI)	N/A
HADM 2015 	 ICDM International Workshop on Hardware Accelerated Data Mining	Atlantic City, NJ
KDMILE 2015 	 3rd Symposium on Knowledge Discovery Mining and Learning 	Itaipava - Petropolis (Brazil)
KDMILE 2015 	 3rd Symposium on Knowledge Discovery Mining and Learning 	Itaipava - Petropolis (Brazil)
BAFI 2015 	 Business Analytics in Finance and Industry	Santiago, Chile
CIDM 2015 	 IEEE Symposium on Computational Intelligence and Data Mining	Cape Town, South Africa
INFORMS-DMA 2015 	 2015 INFORMS Workshop on Data Mining and Analytics	Philadelphia
SocialSens 2015 	 Last CFP: First International Workshop on Social Sensing (SocialSens 2015)	Dallas, TX, USA
DICTA 2015 	 Digital Image Computing: Techniques and Applications	Adelaide, Australia
SocialSens 2015 	 First International Workshop on Social Sensing (SocialSens 2015)	Dallas, TX, USA
MLSLP 2015 	 Machine Learning in Spoken Language Processing	Aizu-Wakamatsu city, Fukushima, Japan
ICMLA 2015 	 International Conference on Machine Learning and Applications	Miami, FL
ICAST 2015 	 IEEE 7th International Conference on Awareness Science and Technology	Qinhuangdao
AV+EC 2015 	 AV+EC 2015 - 5th International Audio/Visual+ Emotion Challenge and Workshop	Brisbane, Australia
LWA/KDML 2015 	 Workshop on Knowledge Discovery, Data Mining and Machine Learning	Trier, Germany
MetaSel 2015 	 ECMLPKDD Workshop on Meta-learning and Algorithm Selection	Porto, Portugal
ECML MLLS 2015 	 2nd Workshop on Machine Learning in Life Sciences	Porto, Portugal
ECML/PKDD  2015 	 ECML'2015  Workshop on Advanced Analytics and Learning on Temporal Data	Porto
ECML-AALTD 2015 	 Advanced Analytics and Learning on Temporal Data	Porto
MLSA 2015 	 Machine Learning and Data Mining for Sports Analytics (MLSA 15) @ ECML/PKDD 2015	Porto
Big Data 2015 	 The 3rd International Workshop on Big Data	Xi'an, China
ICCP 2015 	 IEEE 11th - International Conference on Intelligent Computer Communication and Processing	Cluj-Napoca, Romania
AISI 2015 	 International Conference on Advanced Intelligent Systems and Informatics	Beni Suef, Egypt
AISec 2015 	 8th ACM Workshop on Artificial Intelligence and Security	Denver, Colorado, USA
ICACSIS 2015 	 7th International Conference of Advanced Computer Science and Information Systems	Depok, West Java
IDEAL 2015 	 The 16th International Conference on Intelligent Data Engineering and Automated Learning	Wroclaw, Poland
CIARP 2015 	 XX Iberoamerican Congress on Pattern Recognition	Montevideo, Uruguay
MoReBikeS Challenge 2015 	 MoReBikeS: 2015 ECML-PKDD Challenge on Model Reuse with Bike rental Station data	Porto, Portugal
ISCMI 2015 	 2nd Intl. Conference on Soft Computing & Machine Intelligence	Hong Kong
NIPS 2015 	 Neural Information Processing Systems Conference	Montreal, Canada
ICDM 2015 	 International Conference on Data Mining	Atlantic City, NJ, USA
ECTA 2015 	 7th International Conference on Evolutionary Computation Theory and Applications	Lisbon, Portugal
MaxEnt 2015 	 35th International Workshop on Bayesian Inference and Maximum Entropy Methods in Science and Engineering	Clarkson University, Potsdam, NY, USA
MLIS 2015 	 ICML Workshop on Machine Learning for Interactive Systems (MLIS'15)	Lille, France
DSAA 2015 	 IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris - France
INISTA 2015 	 2015 IEEE International Symposium on INnovations in Intelligent SysTems and Applications	Madrid, Spain
ICONIP 2015 	 LNCS 22nd International Conference on Neural Information Processing	Istanbul, Turkey
SSML 2015 	 AERFAI/INIT Summer School on Machine Learning	Benicassim (Spain)
GlobalSIP 2015 	 IEEE Global Conference on Signal and Information Processing	Orlando, Florida, USA
Big Data  2015 	 The 3rd International Workshop on Big Data	Xi'An, China
ACML 2015 	 7th Asian Conference on Machine Learning	Hong Kong
IDA 2015 	 The 14th International Symposium on Intelligent Data Analysis	Saint-Etienne, France
CIBB 2015 	 Twelfth International Meeting on Computational Intelligence Methods for Bioinformatics and Biostatistics	Naples, Italy, EU
FEAST 2015 	 ICML Workshop on Features and Structures	Lille, France
ILP 2015 	 The 25th International Conference on Inductive Logic Programming	Kyoto, Japan
MUD@ICML 2015 	 2nd International Workshop on Mining Urban Data	Lille
RTStreams 2015 	 The 1st IEEE International Workshop on Real Time Data Stream Analytics	Helsinki, Finland
STAMLINS 2015 	 ICML Workshop on Statistics, Machine Learning and Neuroscience	Lille, France
DAMDID/RCDL 2015 	 XVII International Conference on Data Analytics and Management in Data Intensive Domains	Obninsk, Russia
IEEE SMC 2015 	 IEEE International Conference on Systems, Man, and Cybernatics	Hong Kong
IEEE SMC 2015 	 IEEE SMC- Special session on BMI and intelligent interaction for automotive applications	Hong-Kong
MLOSS 2015 	 ICML 2015 Workshop on Machine Learning Open Source Software: Open Ecosystems	Lille, France
GIGA 2015 	 GENERAL INTELLIGENCE IN GAME-PLAYING AGENTS	Buenos Aires
IP  2015 	 IJCAI 2015 Workshop in INTELLIGENT PERSONALIZATION (IP'2015)	Buenos Aires - Argentina
Adaptive NLP 2015 	 Workshop on Adaptive Natural Language Processing at IJCAI 2015	Buenos Aires, Argentina
RecSys 2015 	 ACM International Conference on Recommender Systems	Vienna, Austria
IEEE CPBG 2015 	 The 1st IEEE International Workshop on Classification Problems Embedded in the Nature of Big Data	Helsinki, Finland
IntelliSys  2015 	 SAI Intelligent Systems Conference 2015	London UK
VAAM 2015 	 Video Analytics for Audience Measurement	Torino/Turin, Italy
PAPIs.io 2015 	 The International Conference on Predictive APIs and Apps	Sydney
ECML-PKDD 2015 	 European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	Porto, Portugal
ICMLC 2015 	 2015 International Conference on Machine Learning and Cybernetnics	Guangzhou, China
ICWAPR 2015 	 2015 International Conference on Wavelet Analysis and Pattern Recongition	Guangzhou, China
MLPRA 2015 	 6th International Workshop on Machine Learning, Pattern Recognition and Applications	Amsterdam, the Netherlands
ECC 2015 	 2nd Euro-China Conference on Intelligent Data Analysis and Applications	Ostrava, Czech Republic
(***Closed***) Call For Book Chapters 2015 	 Computational Biology and Bioinformatics: Gene Regulation, CRC Press (Taylor & Francis Group)	N/A
DSBD 2015 	 The 2nd International Workshop on Data Stream Classification and Big Data Analytics	Wroclaw, Poland
InWebTech  2015 	 Innovations in Web Technologies (InWebTech 2015)	Gdynia, Poland
AJIS (Business Analytics) 2015 	 2nd CFP - Australasia Journal of Information Systems, Special Issue on Business Analytics	N/A
PRNI 2015 	 5th International Workshop on Pattern Recognition in NeuroImaging	Stanford, CA, USA
ICMMI 2015 	 International Conference  on Man-Machine Interactions	The Beskids, Poland
Fusion in Biometrics 2015 	 Special Issue: Information Fusion in Biometrics 	Journal
CABDA@CYBCONF 2015 	 Special Session on Computational Aspects of Big Data Analysis 	Gdynia, Poland
AGI 2015 	 Artificial General Intelligence	Berlin, Germany
EPIA-TEMA 2015 	 17th Portuguese Conference on Artificial Intelligence (EPIA 2015): Text Mining and Applications (TEMA’15) Track	Coimbra
PAML 2015 	 Journal of Neural Computing and Applications (Springer), Special Issue on  Predictive Analytics Using Machine Learning	N/A
RuleLearning@RuleML 2015 	 Rule learning - a special track of RuleML 2015	Berlin
UAI 2015 	 31st Conference on Uncertainty in Artificial Intelligence	Amsterdam, The Netherlands
VISUM 2015 	 VISion Understanding and Machine Intelligence	Porto, Portugal
MLJ-SI 2015 	 Machine Learning Journal Special Issue on Dynamic networks & Knowledge discovery	N/A
ULA 2015 	 Unsupervised Learning Algorithms (Springer, 2015)	N/A
